Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.4,RPM_0.5,RPM_0.7,RPM_0.9,RPM_1.0,RPM_1.2,RPM_1.5,RPM_2.0,RPM_2.2,RPM_2.5,RPM_3.0,RPM_3.5,RPM_4.0,RPM_4.5,RPM_10.0,,,
-65.3,1.16,1.75,1.33,1.09,0.86,1.42,1.12,1.07,1.03,1.04,1.29,1.55,1.53,1.7,1.73,1.76,2.03,3.01,,,
-65.4,0.59,1.04,1.45,1.93,1.85,1.94,2.33,2.28,2.49,2.72,2.85,2.92,3.12,3.44,3.62,3.8,4.06,6.09,,,
-65.5,1.31,2.16,2.45,3.45,3.79,3.67,3.99,4.2,4.4,4.71,5.18,5.43,5.84,6.27,6.65,7.02,7.49,10.99,,,
-65.6,2.88,4.15,5.09,5.38,6.58,6.62,6.94,7.32,7.79,8.35,9.24,9.64,10.18,10.89,11.64,12.34,13.02,19.2,,,
-65.7,4.73,7.03,7.98,8.6,9.51,10.53,11.2,11.67,12.3,13.51,14.99,15.56,16.43,17.69,18.93,20.1,21.39,32.08,,,
-65.8,7.92,11.71,12.85,13.82,14.91,16.8,18.48,18.82,20.38,22,24.53,25.45,26.86,28.99,31.06,33.12,35.17,53.63,,,
-65.9,13.1,18.45,20.49,21.76,23.26,25.76,25.52,26.8,29.03,29.83,34.11,34.93,37.49,40.98,44.02,47.51,49.96,80.15,,,
-66,17.98,28.71,32.87,34.82,35.27,39.18,44.09,45.83,48.71,53.6,60.78,63.48,67.17,73.58,79.57,85.47,90.89,,,,
-66.1,31.56,45.29,51.54,56.22,60.49,66.58,73.4,75.44,81.76,89.65,96.12,,,,,,,,,,
-66.2,56.42,69.77,82.36,89.86,95.26,,,,,,,,,,,,,,,,
-66.3,84.53,76.91,83.75,90.05,95.07,98.69,,,,,,,,,,,,,,,
-66.4,86.79,78.54,81.42,91.31,96.6,97.98,,,,,,,,,,,,,,,
-66.5,81.79,80.96,81.82,91.29,97.45,,,,,,,,,,,,,,,,
-66.6,82.94,83.96,88.58,91.94,97.67,,,,,,,,,,,,,,,,
-66.7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
