Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,15.54,52.57,68.91,78.47,85.98,95.45,,,,,,,
-65.7,60.16,68.76,75.31,85.1,92.33,97.66,,,,,,,
-65.8,64.81,73.54,80.33,89.98,98.35,,,,,,,,
-65.9,67.83,76.78,84.9,95.17,97.71,,,,,,,,
-66,72.21,81.29,90.51,97.24,,,,,,,,,
-66.1,77,85.12,95.37,,,,,,,,,,
-66.2,81.37,88.7,96.32,,,,,,,,,,
-66.3,92.31,96.58,,,,,,,,,,,
-66.4,90.19,95.39,98.76,,,,,,,,,,
-66.5,91.25,96.39,98.54,,,,,,,,,,
-66.6,92.25,97,99.11,,,,,,,,,,
-66.7,94.71,94.5,97.45,,,,,,,,,,
