Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,1.7,3.39,5.01,8.35,11.73,16.75,25,33.31,49.94,74.56,99.18,,
-65.7,2.01,3.48,5.17,8.59,12,17.12,25.61,34.06,51,76.21,96.69,,
-65.8,2.34,3.81,5.74,9.59,13.39,19.09,28.61,38.12,57.15,85.31,,,
-65.9,2.86,4.61,6.86,11.53,16.12,23.02,34.48,45.94,68.85,94.03,,,
-66,3.74,5.15,7.81,13.3,18.62,26.54,39.77,53,79.32,,,,
-66.1,4.44,6.19,9.31,15.68,21.92,31.32,46.94,62.69,93.62,,,,
-66.2,8.44,11.93,16.36,22.55,29.61,42.16,60.9,79.74,95.58,,,,
-66.3,13.91,12.86,15.9,25.17,34.13,43.04,62.77,81.55,98.04,,,,
-66.4,15.65,16.67,19.51,22.72,29.89,42.94,60.57,76.81,94.25,,,,
-66.5,33.82,20.43,16.37,25.48,30.14,39.77,55.94,75.31,92.75,,,,
-66.6,12.41,12.37,13.82,18.24,29.58,39.91,59.54,77.52,96.12,,,,
-66.7,98.91,97.23,94.59,94.11,93.49,91.99,92.6,93.66,87.76,81.9,81.71,80.97,91.11
