Z-Height,RPM_0.1,RPM_0.2,RPM_0.4,RPM_0.6,RPM_0.8,RPM_1.0,RPM_2.0,RPM_3.0,RPM_5.0,RPM_10.0
-65,2.65,5.27,10.45,15.63,20.75,25.91,51.29,76.68,,
-65.03,4,5.21,10.42,15.58,20.69,25.83,51.18,76.64,,
-65.06,4.01,5.27,10.52,15.7,20.9,26.07,51.69,77.45,,
-65.09,4.12,5.35,10.65,15.93,21.24,26.51,52.55,78.75,,
-65.12,4.29,5.46,10.85,16.26,21.67,27.06,53.62,80.4,,
-65.15,4.44,5.57,11.07,16.61,22.1,27.63,54.73,82.06,,
-65.18,4.66,5.67,11.32,16.97,22.58,28.24,55.97,83.92,,
-65.21,4.84,5.8,11.57,17.32,23.07,28.82,57.14,85.7,,
-65.24,5,5.9,11.77,17.61,23.48,29.32,58.12,87.17,,
-65.27,5.09,5.93,11.8,17.68,23.57,29.46,58.38,87.58,,
-65.3,5.13,5.93,11.8,17.7,23.59,29.5,58.44,87.66,,
-65.33,5.14,5.97,11.9,17.85,23.77,29.73,58.9,88.39,,
-65.36,5.23,6.02,12.02,18.03,24.01,30.01,59.49,89.25,,
-65.39,5.42,6.18,12.34,18.49,24.66,30.81,61.06,91.64,,
